insertar,registro,registro_senasa,marca,empresa,activos,banda_toxocologica,producto_propio,precio,rentabilidad,precio_minimo,precio_maximo
FALSE,S_41715,41715,MENTOR 20 ACA,ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LTDA,CLORANTRANILIPROLE 20%,III,FALSE,21,12%,16.8,25.2
FALSE,S_41714,41714,TARPAN MAX,GLEBA S A,"FLUDIOXONIL 2,5%## METALAXIL 7,5%",III,FALSE,20,18%,16,24
FALSE,S_41713,41713,AZZIX,SIPCAM ARGENTINA S.R.L.,"CARFENTRAZONE ETIL 1,5%## TERBUTILAZINA 55%",III,FALSE,13,14%,10.4,15.6
TRUE,S_41712,41712,CHEMODIM 24,CHEMOTECNICA SOCIEDAD ANONIMA,CLETODIM 24%,III,FALSE,13,19%,10.4,15.6
FALSE,S_41711,41711,FIDEMAX 2.4 D ME,AGRICULTORES FEDERADOS ARGENTINOS SOC COOP LTDA,"2,4 D 30%",II,FALSE,7,23%,5.6,8.4
FALSE,S_41710,41710,EMPERA NEO,SUMITOMO CHEMICAL ARGENTINA S.A.,"EPYRIFENACIL 5,5%",III,FALSE,18,6%,14.4,21.6
FALSE,S_41709,41709,EMPERACIL,SUMITOMO CHEMICAL ARGENTINA S.A.,"EPYRIFENACIL 5,5%",III,FALSE,19,21%,15.2,22.8
FALSE,S_41708,41708,EMPERA MAX,SUMITOMO CHEMICAL ARGENTINA S.A.,"EPYRIFENACIL 5,5%",III,FALSE,24,1%,19.2,28.8
FALSE,S_41707,41707,FLUMIOXAZIN 48 B,REGISTROS AGROPECUARIOS SRL,FLUMIOXAZIN 48%,III,FALSE,9,15%,7.2,10.8
FALSE,S_41706,41706,AMIGUITO FACYT,FACYT I + D SA,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL 37%,III,FALSE,13,12%,10.4,15.6
FALSE,S_41705,41705,SAGITARIO,NOVA  S. A. U.,"PIRACLOSTROBIN 13,3%## PROPICONAZOLE 15%## PROTIOCONAZOLE 6%",II,FALSE,24,1%,19.2,28.8
FALSE,S_41704,41704,PARAQUAT III KEMSURE,AGROEMPRESA COLON  S.A.,"PARAQUAT DICLORURO 27,6%",II,FALSE,25,13%,20,30
FALSE,S_41703,41703,MESOMYL T,TECNOMYL S.A.,MESOTRIONE 48%,IV,FALSE,15,9%,12,18
FALSE,S_41702,41702,ADAMA MAXENTIS,ADAMA ARGENTINA SOCIEDAD ANONIMA,AZOXISTROBINA 20%## PROTIOCONAZOLE 15%,III,FALSE,23,13%,18.4,27.6
FALSE,S_41701,41701,TBZ A,3 LOMAS  S.A.,TERBUTILAZINA 50%,II,FALSE,18,6%,14.4,21.6
TRUE,S_41700,41700,VOLGA,AGROFINA S A,FLUROCLORIDONA 25%,III,FALSE,12,20%,9.6,14.4
FALSE,S_41699,41699,CLOMAZONE 80 EC BRILLIANCE,AGROREGISTROS PROFESIONALES S.R.L.,CLOMAZONE 80%,III,FALSE,25,20%,20,30
FALSE,S_41698,41698,FINACLOR,AGROFINA S A,"2,4 D 78,1%",II,FALSE,13,1%,10.4,15.6
FALSE,S_41697,41697,GLENN,AGROFINA S A,LACTOFEN 36%,III,FALSE,12,5%,9.6,14.4
FALSE,S_41696,41696,TREVOR,AGROFINA S A,CLORANTRANILIPROLE 20%,IV,FALSE,8,15%,6.4,9.6
FALSE,S_41695,41695,ARAGEN 20,ARANAMI INDUSTRIAL S.A.,CLORANTRANILIPROLE 20%,IV,FALSE,12,19%,9.6,14.4
FALSE,S_41694,41694,GLIFOSATO CLEAN GOLD,3 LOMAS  S.A.,"GLIFOSATO 60,8%",IV,FALSE,6,17%,4.8,7.2
FALSE,S_41693,41693,CURAMI XL,ARANAMI INDUSTRIAL S.A.,"FLUDIOXONIL 2,5%## METALAXIL 1%",IV,FALSE,15,3%,12,18
FALSE,S_41692,41692,SULFENTRAZONE SINO-AGRI,SAL ARGENTINA S.R.L.,SULFENTRAZONE 50%,III,FALSE,13,14%,10.4,15.6
FALSE,S_41691,41691,GOLDROLE,RAINBOW AGROSCIENSES SA,FLUBENDIAMIDE 48%,III,FALSE,13,7%,10.4,15.6
FALSE,S_41690,41690,GENAPIR,NGC AGROSCIENCES ARGENTINA S.A.,"IMAZAPIR 58,9%",IV,FALSE,20,21%,16,24
FALSE,S_41689,41689,PIROFLUM,XOMEZANA SA,"FLUMIOXAZIN 15%## PIROXASULFONE 34,5%",IV,FALSE,21,10%,16.8,25.2
FALSE,S_41688,41688,PIROXASULFONE 85 WG BRILLIANCE,XOMEZANA SA,PIROXASULFONE 85%,III,FALSE,9,14%,7.2,10.8
